Nodo	Centralità	Distanza Media
7098	0.041028	24.373403
1784	0.040760	24.533812
3810	0.040718	24.558876
5479	0.040680	24.582367
461	0.040606	24.627089
8408	0.040437	24.730096
10042	0.040403	24.750835
7042	0.040349	24.783861
8409	0.040205	24.872715
1782	0.040150	24.906526
10089	0.040147	24.908492
3205	0.040068	24.957637
566	0.040062	24.961274
2427	0.040060	24.962846
1236	0.039989	25.006782
3206	0.039980	25.012679
2464	0.039950	25.031354
9176	0.039893	25.067328
4629	0.039778	25.139375
2225	0.039754	25.154610
3825	0.039707	25.184293
3292	0.039692	25.193729
1610	0.039668	25.209455
3535	0.039654	25.218302
1627	0.039641	25.226558
5480	0.039598	25.253784
120	0.039578	25.266562
3853	0.039488	25.324258
3852	0.039487	25.325044
4373	0.039472	25.334578
8678	0.039412	25.372911
8062	0.039309	25.439257
10122	0.039299	25.446039
270	0.039284	25.455573
4374	0.039265	25.468252
9298	0.039244	25.481718
2972	0.039195	25.513269
4873	0.039194	25.513859
6064	0.039194	25.513859
3069	0.039178	25.524572
3706	0.039164	25.533615
5634	0.039160	25.535974
773	0.039149	25.543641
10044	0.039117	25.564183
366	0.039106	25.571555
4871	0.039098	25.576568
5776	0.039082	25.587281
3204	0.039061	25.600747
7041	0.039051	25.607627
2428	0.039039	25.615196
5796	0.039034	25.618636
3213	0.039027	25.623550
9552	0.039026	25.624042
1011	0.039006	25.637114
6063	0.038983	25.652054
772	0.038979	25.654511
6220	0.038905	25.703362
4161	0.038903	25.705229
9984	0.038863	25.731571
782	0.038849	25.740810
2127	0.038841	25.745921
2463	0.038821	25.759190
5910	0.038790	25.779831
5554	0.038784	25.783861
8415	0.038783	25.784451
5114	0.038764	25.797327
4188	0.038756	25.802634
3811	0.038755	25.803224
5426	0.038753	25.804502
5445	0.038750	25.806762
9253	0.038738	25.814232
2604	0.038726	25.822685
5388	0.038724	25.823570
2879	0.038708	25.834185
10090	0.038700	25.839689
9639	0.038697	25.842048
3707	0.038695	25.842933
269	0.038695	25.843031
9001	0.038680	25.852959
5838	0.038676	25.856006
3139	0.038643	25.877629
1993	0.038641	25.879005
4877	0.038616	25.896206
2106	0.038613	25.897779
4872	0.038607	25.901809
5427	0.038577	25.922351
3236	0.038562	25.932377
2661	0.038557	25.935325
3228	0.038556	25.936013
8476	0.038525	25.957244
6840	0.038506	25.970120
2662	0.038499	25.974641
2898	0.038486	25.983586
7071	0.038457	26.003145
4630	0.038451	26.007077
1457	0.038446	26.010419
4498	0.038442	26.013367
1570	0.038440	26.014350
9254	0.038433	26.019461
3140	0.038426	26.024376
3068	0.038418	26.029192
138	0.038418	26.029782
5733	0.038417	26.030372
10094	0.038416	26.031158
9299	0.038415	26.031551
565	0.038399	26.042363
4786	0.038390	26.048752
4949	0.038384	26.052192
5991	0.038378	26.056320
1284	0.038370	26.062217
2900	0.038368	26.063299
1550	0.038361	26.067918
2889	0.038356	26.071358
3492	0.038356	26.071555
2376	0.038350	26.075487
7950	0.038349	26.076076
1415	0.038342	26.080892
784	0.038336	26.084922
3705	0.038331	26.088657
4402	0.038330	26.089149
1841	0.038319	26.096619
2001	0.038319	26.096619
2659	0.038262	26.135640
2660	0.038259	26.137311
7508	0.038252	26.142520
6049	0.038245	26.147140
1012	0.038243	26.148319
5847	0.038225	26.160605
1796	0.038220	26.164046
6221	0.038201	26.177020
8416	0.038197	26.180165
5797	0.038196	26.180558
3828	0.038189	26.185866
1571	0.038187	26.187045
8420	0.038176	26.194221
5478	0.038172	26.197464
5307	0.038171	26.197661
1785	0.038165	26.201985
5122	0.038145	26.215451
8517	0.038142	26.217908
564	0.038124	26.230489
9047	0.038119	26.233536
5389	0.038115	26.236387
5273	0.038107	26.241695
6050	0.038105	26.242972
3843	0.038097	26.248673
3525	0.038092	26.251917
4746	0.038082	26.259190
3950	0.038081	26.259976
1298	0.038077	26.262532
4950	0.038061	26.273442
783	0.038056	26.277275
183	0.038053	26.279143
4251	0.038049	26.282092
1235	0.038047	26.283369
10043	0.038043	26.285827
9244	0.038043	26.286220
5889	0.038042	26.286613
7544	0.038025	26.298408
2232	0.038024	26.299391
6476	0.038004	26.313151
5635	0.038001	26.315215
89	0.037996	26.318754
8009	0.037983	26.327698
5334	0.037982	26.327993
9255	0.037967	26.338510
1283	0.037958	26.345194
3743	0.037954	26.347356
1268	0.037953	26.348339
43	0.037940	26.357480
8417	0.037936	26.360232
7444	0.037930	26.364655
1304	0.037929	26.365343
1573	0.037916	26.373894
5911	0.037911	26.377334
8065	0.037910	26.378317
9070	0.037889	26.392766
3937	0.037888	26.393356
2013	0.037884	26.396403
2973	0.037884	26.396599
9357	0.037880	26.399253
8013	0.037813	26.445842
7794	0.037810	26.448103
1456	0.037809	26.448988
7696	0.037809	26.448988
3141	0.037802	26.453312
5793	0.037777	26.471005
6596	0.037764	26.480244
3704	0.037763	26.480637
2998	0.037762	26.481423
368	0.037744	26.494004
7072	0.037729	26.504914
2997	0.037718	26.512876
1572	0.037716	26.514154
2658	0.037714	26.515431
5111	0.037704	26.522508
9411	0.037687	26.534598
9081	0.037675	26.542756
8064	0.037672	26.545115
5123	0.037666	26.548948
2281	0.037660	26.553568
4511	0.037658	26.554846
5617	0.037654	26.557500
8893	0.037647	26.562709
5660	0.037646	26.563102
1414	0.037641	26.566739
2429	0.037639	26.567918
4276	0.037638	26.569098
5270	0.037636	26.570081
299	0.037630	26.574799
9710	0.037628	26.576076
5962	0.037626	26.577649
8203	0.037623	26.579320
1551	0.037607	26.591115
8679	0.037607	26.591115
2093	0.037603	26.593474
1672	0.037603	26.593768
8187	0.037597	26.597995
10092	0.037584	26.607234
915	0.037582	26.608610
4845	0.037579	26.610281
1697	0.037578	26.611461
4081	0.037570	26.616965
1663	0.037566	26.619520
4870	0.037544	26.635443
5780	0.037543	26.636033
6475	0.037538	26.639768
3812	0.037535	26.641734
8997	0.037535	26.642029
2878	0.037532	26.643700
8816	0.037526	26.648024
792	0.037525	26.648712
4187	0.037523	26.650285
5795	0.037519	26.652939
7502	0.037516	26.655494
5256	0.037512	26.657952
9559	0.037508	26.660999
2462	0.037504	26.663652
8749	0.037504	26.663947
5428	0.037498	26.668370
5124	0.037495	26.670434
4082	0.037494	26.670828
5698	0.037491	26.673088
5965	0.037484	26.677708
5992	0.037481	26.680263
5553	0.037480	26.681050
3665	0.037471	26.687635
3115	0.037466	26.690682
1044	0.037464	26.692451
9108	0.037458	26.696776
581	0.037456	26.698054
5754	0.037455	26.698644
3940	0.037454	26.699528
8757	0.037448	26.704050
5083	0.037435	26.712797
5058	0.037433	26.714665
8493	0.037428	26.718105
6000	0.037417	26.725673
460	0.037415	26.727443
793	0.037413	26.728917
2288	0.037408	26.732554
4948	0.037402	26.736190
545	0.037402	26.736583
8999	0.037401	26.737271
4075	0.037396	26.740515
6913	0.037395	26.741203
6517	0.037394	26.742088
3826	0.037393	26.742972
9056	0.037384	26.749361
9677	0.037380	26.752506
1172	0.037378	26.753489
3819	0.037378	26.753588
8121	0.037377	26.754767
1522	0.037376	26.755062
4372	0.037373	26.757421
1549	0.037371	26.758502
6219	0.037367	26.761451
4747	0.037363	26.764596
3802	0.037361	26.765874
7403	0.037357	26.768724
4353	0.037346	26.776784
2201	0.037343	26.778651
8474	0.037343	26.778651
7159	0.037343	26.778750
5813	0.037337	26.782780
4127	0.037334	26.785433
257	0.037333	26.786023
2901	0.037315	26.799194
6577	0.037313	26.799980
10119	0.037311	26.801455
8066	0.037311	26.802044
5425	0.037308	26.804010
9876	0.037308	26.804010
4250	0.037298	26.810891
3844	0.037296	26.812660
3709	0.037291	26.816395
1169	0.037286	26.819442
188	0.037280	26.823963
8452	0.037273	26.828779
9723	0.037268	26.832809
9080	0.037265	26.834775
6443	0.037265	26.835070
9707	0.037263	26.835954
433	0.037261	26.837822
4193	0.037260	26.838608
5706	0.037260	26.838707
2736	0.037258	26.839788
2147	0.037257	26.840771
4728	0.037249	26.846373
6655	0.037240	26.852664
6965	0.037234	26.857087
10093	0.037231	26.859249
5983	0.037227	26.862296
4947	0.037220	26.867309
6545	0.037218	26.868980
3358	0.037214	26.871732
5999	0.037212	26.873305
4667	0.037197	26.883723
8698	0.037197	26.883920
1844	0.037190	26.888933
5010	0.037188	26.890702
5379	0.037186	26.891980
4128	0.037184	26.893159
5101	0.037183	26.894142
6592	0.037170	26.903283
1155	0.037170	26.903381
5781	0.037168	26.904561
10088	0.037167	26.905347
4721	0.037151	26.917240
5084	0.037145	26.921761
8715	0.037143	26.922941
7925	0.037136	26.928052
4202	0.037128	26.934048
7437	0.037124	26.936898
10108	0.037123	26.937488
9523	0.037117	26.942009
2251	0.037115	26.943287
1626	0.037107	26.948791
7732	0.037104	26.951150
9711	0.037104	26.951543
3480	0.037102	26.952526
7036	0.037097	26.956654
6953	0.037096	26.956949
8507	0.037095	26.957539
7802	0.037093	26.959210
755	0.037091	26.961077
3949	0.037090	26.961569
4952	0.037087	26.963731
3768	0.037083	26.966581
5592	0.037083	26.966581
6492	0.037083	26.966778
2263	0.037081	26.967761
8011	0.037075	26.972381
6379	0.037064	26.980440
9068	0.037063	26.980735
2695	0.037060	26.983586
10118	0.037052	26.988893
9069	0.037047	26.992628
370	0.037047	26.993021
9057	0.037040	26.997543
7828	0.037034	27.002261
8596	0.037033	27.002752
6731	0.037033	27.002949
4828	0.037032	27.003342
4512	0.037028	27.006782
8628	0.037024	27.009632
3134	0.037015	27.016218
4829	0.037015	27.016414
9055	0.037012	27.017987
5659	0.037007	27.021722
